edge_id,node_from,node_to
-1076305648#0,9870050283,9870050277
-1076305648#1,9870050280,9870050283
-1076305648#2,9870050285,9870050280
-1076305648#3,9870050281,9870050285
-1076305649,9870050283,9870050282
-1076305650,9870050282,11723727602
-1076305651,9870050287,9870050285
-1078758068,9889278711,6380078031
-1081686677,9913958185,429410630
-1116771270,10213864504,10213864503
-1118580397,10230384113,10230384112
-1119771324#0,11149436520,10241696212
-1119771324#1,10241696214,11149436520
-1119771324#2,10241696216,10241696214
-1119771324#3,10241696214,10241696216
-1121147959,10254968115,10254968114
-1130786637,10538430677,10538430676
-1132736820,10562032833,11693513552
-1136917573#0,10598349886,10598349885
-1136917573#1,10598349888,10598349886
-1136917574,10598349890,10598349886
-1194686009,429229264,440354101
-1194686010,436107061,440354101
-1201593595,11140288458,4486328014
-1201596258,11140317233,11140317232
-1201596259,11140317234,323131066
-1201596260#0,7230977072,11140317233
-1201596260#1,11140317238,7230977072
-1201596261,7230977073,11140317234
-1201958783#0,11143746599,9171613439
-1201958783#1,11143746600,11143746599
-1201958784,11143746601,11143746599
-1202686044,440354136,6380078000
-1202688400,11149436520,11149436516
-1202688499,10248266806,10248266808
-1214975354#0,6380073817,7111759237
-1214975354#1,6380073820,6380073817
-1214975354#2,3632704945,6380073820
-1214975354#3,429001482,3632704945
-1214975354#4,1788450285,429001482
-1214975354#5,3242193372,1788450285
-1214975357,429001483,3242193372
-1219474754#0,11299488496,3779336540
-1219474754#1,11299488486,11299488496
-1219474755,11299488494,11299488486
-1219474756,11299488496,11299488494
-1238774742,11507870094,11507870093
-1261703410,11723727603,9870050280
-1261758410,11724009119,6876979346
-1261758411#0,6876979344,11724009121
-1261758411#1,6876979343,6876979344
-1261758412#0,6876979348,11724009120
-1261758412#1,6876979346,6876979348
-1261758412#2,11724009121,6876979346
-1261773479,6876979348,11724088869
-1261785920,11723907792,428785848
-1261792954,6380078028,11724205432
-1261793601,11724216097,11724216096
-1261804102,11724256842,1829509097
-1261809359,4486328023,4486328022
-1261809360,4486328022,11724316149
-1261809361,11724316154,11724316153
-1261810481,11724322879,7079390825
-1261813989,11724322198,429410609
-1262066638,11726476723,11726476717
-1262066818#0,1830599718,1830599714
-1262066818#1,1830599742,1830599718
-1262066984,11726511190,1830599718
-1262069152,11726503313,9171367473
-1262069408#0,6380078001,6380078004
-1262069408#1,6380078003,6380078001
-166481851#0,3353748100,1779258563
-166481851#1,436107020,3353748100
-166481851#2,10598349890,436107020
-166481851#3,10598349888,10598349890
-166481851#4,1784574070,10598349888
-167046552#0,1784523551,11693513547
-167046552#1,11149436516,1784523551
-167046552#2,10241696212,11149436516
-167046552#3,440354123,10241696212
-167046552#4,4486345139,440354123
-167046552#5,436107055,4486345139
-167046552#6,1830597925,436107055
-167046552#7,1830591270,1830597925
-167046553#0,1784523537,11693513560
-167046553#1,440354136,1784523537
-167046553#2,436107051,440354136
-167046553#3,1830599714,436107051
-167046553#4,1794354766,1830599714
-167046634#0,429229262,429229259
-167046634#1,429229264,429229262
-167046634#2,429229265,429229264
-167046634#3,1830583503,429229265
-167046634#4,1830583500,1830583503
-167046634#5,436107016,1830583500
-167046634#6,1794362279,436107016
-167046966#0,1784529293,1784529286
-167046966#1,1784529287,1784529293
-167046966#2,1784529282,1784529287
-167046966#3,1784529286,1784529282
-167047660,428785853,428785895
-167048966#1,1784566643,429410609
-167050545#0,6380078027,1784566610
-167050545#1,1784566649,6380078027
-167050545#2,1784566628,1784566649
-167050545#3,3632714951,1784566628
-167050545#4,3632714960,3632714951
-167050545#5,1784566636,3632714960
-167050545#6,11693513561,1784566636
-167050545#7,1784523535,11693513561
-167051092#0,1829509099,1784571818
-167051092#1,1829528186,1829509099
-167051092#2,1829509097,1829528186
-167051092#3,1829528187,1829509097
-167051092#4,1829528196,1829528187
-167051092#5,436107069,1829528196
-167051092#6,1794360178,436107069
-167051093,440354101,1784571821
-167051097#0,1784571822,436107041
-167051097#1,436107022,1784571822
-167051097#2,436107020,436107022
-167449503#0,1788441309,1788441299
-167449503#1,436107020,1788441309
-167449529,1973443784,1788441300
-167450222,1788445421,1788445417
-167454980#0,4486328024,429001483
